corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5470;90.0;77A42771;BF0B86FD;0.0;0.4;0.44;0.0;0.03;4.0;4.0;1.0;16.0;4171.0;34.0;1485.0;1631;1525.0
5469;90.0;A6304864;BF0B86FD;0.0;0.35;0.39;0.0;0.03;3.0;4.0;3.0;20.0;4685.0;34.0;1485.0;1638;1525.0
5468;90.0;A7B40EF9;BF0B86FD;0.0;0.5;0.55;0.0;0.04;2.0;4.0;15.0;26.0;0.0;34.0;1485.0;1639;1525.0
5467;90.0;63E4F1BC;BF0B86FD;0.0;0.42;0.46;0.0;0.03;1.0;4.0;6.0;43.0;3571.0;34.0;1485.0;1648;1525.0
5466;90.0;2745E1B0;9C0993CD;0.02;0.48;0.52;0.0;0.02;5.0;5.0;1.0;15.0;3921.0;46.0;1480.0;1657;1530.0
5465;90.0;110B8910;9C0993CD;0.02;0.45;0.49;0.0;0.02;4.0;5.0;3.0;19.0;4443.0;46.0;1480.0;1644;1530.0
5464;90.0;71A8ADCC;9C0993CD;0.02;0.41;0.45;0.0;0.01;3.0;5.0;7.0;47.0;4224.0;46.0;1480.0;1648;1530.0
5463;90.0;F833B659;9C0993CD;0.02;0.47;0.51;0.0;0.02;1.0;5.0;1.0;14.0;3709.0;51.0;1480.0;1650;1530.0
5462;90.0;4BAC542C;9C0993CD;0.02;0.43;0.47;0.0;0.01;6.0;10.0;6.0;42.0;3228.0;34.0;1480.0;1633;1530.0
5461;90.0;7CD34D37;9C0993CD;0.02;0.46;0.5;0.0;0.02;5.0;10.0;3.0;18.0;4172.0;46.0;1480.0;1638;1530.0
5460;90.0;1B299AB5;9C0993CD;0.02;0.36;0.39;0.0;0.01;4.0;10.0;7.0;46.0;3993.0;46.0;1480.0;1646;1530.0
5459;90.0;C5D9664D;9C0993CD;0.02;0.41;0.45;0.0;0.01;3.0;10.0;1.0;13.0;3471.0;46.0;1480.0;1636;1530.0
5458;90.0;833FE3F2;87C78AB7;0.0;0.35;0.4;0.0;0.0;2.0;10.0;6.0;41.0;2985.0;34.0;1480.0;1622;1525.0
5457;90.0;51B5596C;59D14704;0.01;0.45;0.49;0.0;0.01;1.0;10.0;3.0;17.0;3917.0;44.0;1487.0;1654;1537.0
